Cell Line,Cancer Type,Tissue,17-AAG,681640,A-443654,A-770041,ABT-263,ABT-888,AG-014699,AICAR,AKT inhibitor VIII,AMG-706,AP-24534,AS601245,ATRA,AUY922,AZ628,AZD-0530,AZD-2281,AZD6244,AZD6482,AZD7762,AZD8055,Axitinib,BAY 61-3606,BI-2536,BIBW2992,BIRB 0796,BMS-509744,BMS-536924,BMS-708163,BMS-754807,BX-795,Bexarotene,Bicalutamide,Bleomycin,Bortezomib,Bosutinib,Bryostatin 1,CCT007093,CCT018159,CEP-701,CGP-082996,CGP-60474,CHIR-99021,CI-1040,CMK,Camptothecin,Cyclopamine,Cytarabine,DMOG,Dasatinib,Docetaxel,Doxorubicin,EHT 1864,Elesclomol,Embelin,Epothilone B,Erlotinib,Etoposide,FH535,FTI-277,GDC-0449,GDC0941,GNF-2,GSK-1904529A,GSK-650394,GSK269962A,GW 441756,GW843682X,Gefitinib,Gemcitabine,IPA-3,Imatinib,JNJ-26854165,JNK Inhibitor VIII,JNK-9L,JW-7-52-1,KIN001-135,KU-55933,LAQ824,LFM-A13,Lapatinib,Lenalidomide,MG-132,MK-2206,MS-275,Methotrexate,Midostaurin,Mitomycin C,NSC-87877,NU-7441,NVP-BEZ235,NVP-TAE684,Nilotinib,Nutlin-3a,OSI-906,OSU-03012,Obatoclax Mesylate,PAC-1,PD-0325901,PD-0332991,PD-173074,PF-02341066,PF-4708671,PF-562271,PHA-665752,PLX4720,Paclitaxel,Parthenolide,Pazopanib,Pyrimethamine,QS11,RDEA119,RO-3306,Rapamycin,Roscovitine,S-Trityl-L-cysteine,SB 216763,SB590885,SL 0101-1,Salubrinal,Shikonin,Sorafenib,Sunitinib,TGX221,TW 37,Temsirolimus,Thapsigargin,Tipifarnib,VX-680,VX-702,Vinblastine,Vinorelbine,Vorinostat,WH-4-023,WZ-1-84,XMD8-85,Z-LLNle-CHO,ZM-447439
KYSE-520,blood,Hodgkin_lymphoma,-1.703776,2.150185,,,3.24431,5.09387,4.175521,5.945683,2.542519,3.299488,0.004929,6.061498,5.017219,-3.644506,,,5.932922,4.11139,3.375879,-0.190722,0.703342,4.67253,4.935279,,1.650271,5.626764,,,3.425947,3.67151,3.894577,5.288629,4.563966,1.915284,,1.410497,-1.999907,4.225893,2.269619,0.658153,,,5.000856,2.353276,,-2.494201,,0.932789,6.418482,,-4.769558,-1.344122,5.320278,-2.265104,2.91526,-4.562264,,3.182029,3.318256,3.346479,6.170339,1.583899,,4.644351,6.314232,,3.96359,,1.585182,-2.376854,6.014582,,2.077641,5.354023,-0.803569,,,5.349865,-1.607619,6.202958,,3.430234,,3.879534,,1.493928,-0.910351,-0.258532,6.724638,4.535066,-1.374904,,2.233752,5.801956,3.882213,4.359328,-0.726846,2.77934,-1.442424,2.022229,3.547261,,3.562072,3.279229,,5.253668,,,4.546768,,5.57719,1.085772,3.841002,,,,6.121829,6.042481,5.840608,,-0.513463,,,,1.420349,-1.976025,-3.875521,4.546033,,4.157972,-3.044569,-4.026934,2.703173,,,,,4.599305
KYSE-70,blood,Hodgkin_lymphoma,-1.100126,1.348641,,,2.089056,4.866477,5.560449,8.15699,1.731912,1.855336,1.12779,1.401733,6.632513,-3.266962,,,4.006373,3.55084,5.759554,1.638723,0.556422,5.016272,2.336308,,3.418099,5.749428,,,5.507923,2.493584,5.42215,3.07426,4.355233,0.321239,,3.278342,-1.433586,4.696049,5.246812,1.16313,,,5.317527,2.850068,,-2.384475,,0.619051,6.311894,,-4.846774,-1.493175,4.771928,-2.91791,2.717921,-4.882045,,3.477037,-0.208136,2.08562,6.846244,2.290524,,4.20852,2.875456,,3.882833,,2.103843,-1.205,6.479135,,4.445283,3.300454,-0.46644,,,6.281652,-3.402938,6.653745,,5.010086,,4.259626,,1.819022,-0.197949,-1.49472,5.413811,4.678371,-1.885289,,4.780978,4.999021,4.591919,0.588896,-2.667101,4.880445,1.135244,3.035236,3.387051,,6.994232,3.443643,,5.517167,,,2.134695,,2.663869,4.704322,5.079329,,,,6.912657,4.654647,5.661671,,0.881973,,,,1.669143,-0.29468,-8.619757,0.342789,,4.752548,-3.029211,-4.092779,1.457079,,,,,5.194323
L-363,blood,chronic_myeloid_leukaemia,-0.473964,2.738333,-1.876594,6.310173,3.788005,5.125462,4.133863,5.711699,4.329681,5.722619,2.996789,2.661395,4.269836,-2.67344,5.277707,5.890309,3.924858,3.691323,2.489125,-1.331159,-2.4962,2.602216,1.0739,-2.200095,2.266536,6.258072,1.596602,-1.113888,6.3576,-0.94925,0.964564,4.337394,4.953877,5.230741,-4.86642,0.640407,-2.15574,6.37815,3.007152,-2.290576,3.23702,-2.379139,6.473989,4.965592,2.449876,-2.11733,3.45777,1.135533,5.010688,5.177326,-4.814217,-1.1257,3.61754,-4.649126,3.182942,-5.136297,5.982777,1.885551,2.147077,5.038754,4.861583,-1.971575,5.274192,3.409173,6.364795,5.358807,4.195901,-2.51103,2.833937,-2.348663,3.52284,6.150142,1.441763,6.771947,-0.809507,-5.865546,6.580413,4.084797,-3.9355,6.851864,5.943283,2.537607,3.472415,-0.992939,-0.568157,-4.259605,1.701614,-0.834323,7.447861,2.172136,-4.86843,-0.193889,2.770596,4.165853,0.294218,1.682909,-3.062185,3.428231,1.19851,2.079318,2.176951,5.478795,3.415541,1.517314,6.019244,6.912584,-4.304349,5.905137,4.876526,3.590224,1.896007,3.982215,5.065716,-3.107172,6.818401,0.546419,6.635446,4.138966,5.788113,2.607001,4.328759,6.213058,1.569909,7.569041,-0.935276,-7.892831,-7.091018,3.155256,3.847613,1.925113,-4.527305,-4.391901,-0.978182,6.182849,7.496709,2.170058,3.281535,1.895964
L-428,nervous_system,neuroblastoma,4.80399,4.627263,3.05228,5.483312,-0.211456,6.073911,5.889967,7.697316,4.659975,5.527487,0.689033,5.135664,5.372683,-2.563409,5.957524,6.304357,5.594406,5.684125,6.290581,-0.919945,-0.112025,4.078378,2.115232,-1.670638,4.235225,7.144999,5.643594,4.068713,6.597763,4.728021,4.397511,6.339138,5.450381,3.95768,-3.126734,1.794317,-0.613504,6.275703,3.757804,0.006754,4.77928,-2.18787,6.398048,5.012596,2.205483,-2.714967,6.735855,0.826095,6.534248,5.832177,0.053337,-0.234581,4.431144,-1.525802,1.684921,-3.073783,6.068795,1.094918,5.073793,2.619374,6.500655,4.958091,5.237087,5.223524,4.014606,6.049791,5.573682,-2.206599,3.348648,-3.745817,3.911045,6.075115,7.084399,6.255647,-0.432878,-2.271089,7.102829,3.76359,-2.663503,5.335214,6.051269,5.63882,3.548284,6.443351,0.910359,-3.083763,1.764553,0.146501,6.716631,3.13015,-2.638052,2.50703,5.716969,6.437645,4.662856,3.031226,-0.993823,0.283805,3.53599,5.20588,4.371953,3.943192,3.919195,6.652061,6.249264,6.493515,-1.775199,6.341405,5.724323,5.828372,7.183635,6.154629,5.662161,-1.72765,6.557489,1.166444,7.311905,6.259409,6.851249,3.357439,0.186496,5.3139,2.891209,7.744993,0.430161,-2.309001,2.817199,4.430296,5.963075,4.34638,-3.162354,-2.247867,0.35153,6.341832,7.323403,5.646619,3.79932,6.187848
L-540,kidney,kidney,1.869986,2.791832,-1.061589,5.001844,3.007946,5.603355,6.242608,7.040766,5.536233,4.935119,-0.153142,5.684443,4.531991,-1.201021,2.863896,4.000341,5.264986,5.412226,5.865952,-1.598971,-0.94394,1.303347,2.810548,-2.234189,3.454238,4.004173,3.181653,1.915145,5.916972,1.942121,1.045592,2.611884,4.815133,3.159094,-6.937313,0.150808,0.128785,6.625469,2.079541,-3.140059,3.223289,-1.643967,5.008969,5.418854,2.14778,-5.370646,6.06618,1.692527,5.476487,2.712517,-1.910959,-1.544165,5.716362,-3.75042,2.130779,-4.534999,4.344091,0.056299,2.246622,1.345906,5.790092,4.993785,5.229965,5.245724,3.855088,4.693877,3.805185,-2.108492,4.0822,-6.43678,4.640246,4.573808,4.053525,6.920164,-0.390246,-1.201277,5.925358,4.741075,-2.845037,7.414519,3.617135,4.883679,2.879188,2.790427,0.325283,-5.743912,-0.930034,-2.352452,7.577467,4.596027,-3.084142,2.47396,3.586812,1.080869,5.041884,2.211542,-1.532561,0.789956,1.560798,3.358826,4.795345,4.103693,6.570262,2.476453,4.996165,6.616246,-3.070585,5.538975,4.949219,2.590466,3.099045,5.554863,4.897133,0.276365,5.048329,2.468826,6.29892,6.04534,7.045868,2.770789,1.589244,2.326777,4.197882,7.425616,-2.126725,-3.973949,-2.587564,1.574915,4.107674,2.87208,-5.424987,-3.505973,1.573399,3.149445,4.971347,2.487246,2.61069,2.047183
LAMA-84,kidney,kidney,-0.177527,0.566256,-0.494811,-1.920232,-2.066757,3.222784,6.2484,5.503689,4.185817,4.388514,-8.70776,5.86982,3.204832,-3.177034,-1.648099,-1.83321,3.538318,2.659944,4.395792,-2.779355,-2.264049,-2.776339,2.88373,-2.025927,1.717933,5.741125,2.855219,1.893187,6.392577,1.59483,0.107168,3.320958,4.783707,1.455484,-5.658227,-1.704573,-2.830167,5.369885,2.229494,-2.491808,2.896832,-1.593869,5.308629,-0.635539,5.464244,-5.245783,3.481889,-2.765033,7.65258,-12.650321,-2.863011,-0.827146,4.429852,-2.059436,2.918752,-3.969522,1.947013,2.220174,1.805926,4.807261,3.626036,2.0442,-1.816207,4.84362,2.325013,2.615514,2.300965,-3.220778,2.536209,-2.162515,5.395188,-2.616747,1.765951,5.646542,1.080935,-3.831643,7.0071,2.991098,-2.074062,5.925181,6.222252,4.411935,-1.520926,1.162722,-0.254022,-4.431608,1.983334,-0.443701,6.884456,1.684349,-3.760202,1.029306,-9.118431,3.403499,3.53924,2.218958,0.945336,3.898395,-3.785343,-1.09474,0.792579,0.324123,5.566732,4.107705,6.293915,2.147,-2.041003,5.581522,2.366243,0.979603,3.018646,-1.624252,3.263637,1.459593,7.878874,1.150094,5.519344,5.282145,5.32386,2.756558,0.190235,0.319529,0.991564,7.912077,-1.170633,-3.605258,-3.940481,1.859366,-1.044763,1.432518,-4.095966,-3.084548,-1.061453,-12.48688,6.806735,2.339545,0.898624,0.998736
LAN-6,skin,melanoma,2.737052,4.21778,-0.121295,7.831552,1.493328,5.80191,3.864015,11.938204,4.22974,4.973785,3.309074,2.696728,6.61688,-2.465389,-0.382198,4.973744,6.270359,1.039808,3.863676,0.074861,2.495185,3.636486,3.947553,-1.152885,3.68916,6.123599,1.98652,-1.761946,6.286841,-1.615649,6.288675,6.86388,5.327704,2.683352,-6.187942,5.609573,0.496938,5.594606,6.447759,0.896512,5.704759,-1.907018,5.820015,1.462415,3.861576,-2.083702,7.927056,2.523671,7.641052,5.18495,-2.790846,-1.154836,5.008325,-2.907888,4.317148,-1.061088,5.284207,6.891096,3.015942,4.442729,7.098196,3.965373,5.466854,2.274171,7.512359,5.274773,4.184709,-1.975958,2.656967,3.842546,4.811668,6.28548,2.655755,6.708045,0.571544,1.707899,5.576905,7.03666,-0.525656,6.781417,5.366872,6.135829,-1.161549,2.323995,0.70293,0.557109,4.031709,-1.115381,7.121239,3.046405,1.826957,-1.746236,5.099439,2.484305,-1.333784,6.948177,0.639498,4.271262,-2.093607,1.873375,5.275817,2.9315,4.879132,3.449962,5.791552,7.152838,1.26635,6.673019,6.613884,5.85731,5.08918,-0.651316,5.67955,2.116257,5.065136,1.305098,5.380695,6.099297,6.295799,3.501382,1.169119,4.221937,2.656457,7.67988,-1.833078,1.842329,-0.399752,2.644073,4.840668,5.470376,-3.042884,0.353877,1.871235,5.057459,6.700624,2.075233,1.350476,2.944887
LB1047-RCC,skin,melanoma,-2.938232,,-1.748261,-2.093914,1.868142,6.112722,4.208859,9.169411,2.649036,1.394472,-0.30737,0.517444,3.136069,-2.989592,2.356749,-0.444117,6.01195,5.167557,2.733001,-2.809266,-1.077427,1.571565,-0.299423,-1.151213,1.011192,4.22948,3.056861,-0.023583,4.690971,-0.440731,0.256819,2.282719,2.505774,-3.425074,-5.965599,0.213378,-0.326341,6.455896,2.687548,-2.565151,1.858711,-3.479061,2.302383,1.555647,1.920438,-4.84121,5.586323,-2.221703,3.912275,-4.383283,-4.523672,-3.324979,6.227542,-4.533055,1.758395,-6.215573,1.60619,0.758543,1.908687,3.28366,6.351594,-0.648313,3.911792,3.128552,1.824935,3.345979,1.414431,-3.140366,-0.469542,-8.221555,6.154829,3.264717,1.425858,3.953063,-0.910741,-2.638063,6.083662,3.117414,-3.784372,4.367808,1.757938,6.001367,2.044114,0.80789,0.491393,2.722863,-1.865149,-4.297562,6.559691,1.820544,-3.249191,-0.32994,,6.612451,1.715477,4.710086,-1.026792,1.383808,-2.819227,-0.075195,2.142665,4.419432,4.340708,1.775203,2.443627,3.806572,-3.624492,5.857848,1.261761,6.565841,3.632713,0.088293,1.174033,-2.943196,5.06859,1.579593,5.680959,6.277326,6.516921,4.454068,-1.195861,4.371316,0.167882,4.183081,-1.141512,-2.763805,-4.955157,3.144879,0.835554,5.56254,-3.212033,-2.458343,0.168158,-2.194962,4.089483,3.52414,-0.36202,
LB2241-RCC,lung,lung_small_cell_carcinoma,-2.297203,-0.93056,3.502395,3.046723,2.218265,5.820682,2.255266,7.224744,4.509441,2.245476,1.298172,2.380864,6.32355,-3.312632,2.430873,5.536077,5.819865,-0.235838,0.276273,-2.796488,-1.197391,3.684382,1.595301,-0.643882,-2.217849,3.940399,5.379176,5.115479,5.612123,0.699745,0.989834,4.931029,4.687477,-0.303477,-7.125411,-0.621427,-0.468206,6.031575,2.894663,-2.080107,5.401669,2.83998,5.221142,1.050446,-0.358791,-6.177471,4.75943,-2.894215,6.28666,2.199458,-4.990683,-1.447692,4.871786,-2.876057,3.80037,-5.194244,1.339541,3.437309,0.960213,3.537487,3.083932,-1.191258,1.116627,3.268912,3.197135,2.356471,4.95494,1.219117,-1.635111,-10.356431,3.332092,2.088629,2.698357,1.883638,-0.310428,4.777757,6.417978,2.461179,-2.802241,6.256117,0.143262,6.002262,-1.948604,-0.002664,0.252024,2.624551,-0.013013,-4.328132,6.979241,0.761488,-4.268152,-0.011668,0.022037,1.296664,1.854213,3.107511,-0.27329,2.59567,-2.725379,0.170757,3.865498,5.191868,2.531944,2.576188,-1.851382,1.997291,2.306436,4.844139,4.619443,6.507617,3.357134,1.193413,5.27737,1.053752,3.884038,5.324447,1.860778,4.561122,4.302225,1.606578,0.253314,3.505963,5.474278,4.125849,-1.920162,-3.237393,-2.717481,1.818614,4.930712,4.432238,-4.593295,-1.042958,0.684264,5.991089,6.608988,2.229528,-0.138389,0.041039
LB2518-MEL,aero_digestive_tract,head_and_neck,-1.355686,1.847613,-0.923297,4.689063,2.823691,5.974532,6.300187,9.409521,5.161105,5.469744,3.802068,3.017036,5.055163,-0.894727,-5.34795,3.519473,5.436622,-2.366344,5.150378,0.931167,0.976099,4.692751,2.899528,-0.699095,3.909465,7.180255,3.819511,1.990569,5.562675,1.072605,5.650859,2.858432,4.33488,-1.702403,-7.763815,4.063942,-1.22616,5.977855,5.864369,-0.903064,4.638587,1.190839,1.745064,-0.333632,4.240146,-0.885782,4.613031,2.240886,5.457701,-1.954609,-3.045616,-0.884064,6.196715,-2.70396,4.482983,-4.03918,3.91822,3.88168,0.147215,3.66826,6.576069,2.489808,4.747111,4.831963,4.524912,0.539388,5.398932,-2.233599,3.014255,-2.740857,6.27105,2.809969,4.617043,6.591297,-0.615918,-2.4423,5.545566,6.92315,-2.869253,6.351832,5.114488,5.90883,-3.280733,4.912603,-0.069522,1.920251,1.83372,-0.626307,6.944632,3.436385,-1.850849,2.458458,4.988022,3.498921,3.395013,2.09068,-1.453629,4.754286,-4.498164,4.807521,4.736223,4.431086,6.620352,3.015306,4.04634,3.162991,-2.508196,4.344565,2.520311,5.169372,2.493334,-2.55732,5.935522,2.540143,3.851101,1.309789,6.66605,6.378213,6.326476,2.076093,1.188851,0.189039,6.270614,5.121023,-1.728736,1.155552,-4.056181,0.741504,3.302383,3.689445,-2.650839,-1.557685,1.170617,-3.064696,4.894231,2.507248,3.313421,4.924396
LB373-MEL-D,urogenital_system,Bladder,1.467989,5.304991,-0.632772,3.596776,4.306122,6.543441,6.252042,11.147116,5.465503,3.717514,3.264646,2.453028,7.398143,-1.223123,0.509719,4.355667,5.4417,4.504686,4.296802,5.019886,1.361504,3.752891,3.004985,-0.936582,4.100303,6.178911,3.476665,3.324908,5.226978,2.473984,6.610362,5.122225,4.405114,4.032602,-7.264477,5.559434,-1.643052,6.754088,7.149957,2.082184,4.102323,-1.563465,3.43414,3.055468,3.503899,-0.164354,6.35903,2.802699,6.565427,-0.192269,-3.839249,-1.065251,7.061382,-4.302728,3.186492,-4.010175,3.886834,5.171727,1.051838,2.207672,7.527775,3.297819,3.504801,4.585132,7.141379,5.125029,3.507392,-1.901457,4.294936,0.509794,5.04365,4.800903,6.803434,6.996237,0.783101,-1.861819,6.037242,7.235688,-2.577269,7.284741,3.158923,6.183828,-1.418908,5.462101,0.819349,3.287438,3.274859,-0.84486,7.512806,5.55611,1.829215,2.744542,5.982029,3.872876,3.203005,6.941399,-3.162595,5.000657,-2.815294,5.182705,5.915529,4.853802,6.991606,2.810236,5.127504,6.829421,-3.192894,5.696279,2.597886,7.819714,4.911537,0.770921,4.829529,1.474279,6.329441,1.043493,,5.810418,7.216907,6.74252,-0.939708,3.070911,6.292968,5.030938,1.0996,2.78535,-3.537954,2.180726,2.432091,5.61131,-1.083782,-3.061792,1.437107,3.391583,5.468427,4.789952,0.80499,5.928724
LB647-SCLC,kidney,kidney,,,-1.495956,1.587362,,,,,5.153374,,3.833315,5.626008,,-1.426525,5.479907,2.861909,,,,,,,2.643797,-3.443662,,,4.523988,2.671472,,-1.864968,,5.64796,5.027788,1.145169,-5.467545,,0.045061,,,,5.938556,2.271553,5.001,,2.384728,,5.169605,,8.170076,4.827432,,-2.092757,,,5.239777,-5.777567,2.877657,0.693742,6.269638,4.594326,,,2.700462,4.731005,2.071003,5.113135,,-3.966314,,-6.742323,1.987399,4.160738,,,1.84018,-2.145139,3.992264,,-4.264758,5.506635,2.829512,,1.517997,,-1.001578,,1.441038,-1.090413,6.973536,,,0.299998,,,0.56862,4.480213,2.754903,3.561395,,,,4.603874,,4.653666,5.037506,,-4.555157,4.785246,5.701879,4.19856,1.702993,,,-1.112568,4.194322,1.851572,,,,7.19046,-1.457682,5.086265,5.083023,6.70745,,,-5.326481,4.876372,-1.53607,,,-4.977874,,4.765633,5.787844,5.462643,1.101475,
LB771-HNC,lung,lung_NSCLC_squamous_cell_carcinoma,0.791156,1.784779,-1.503334,2.254511,4.693654,3.36167,6.512191,8.805931,2.977639,5.87064,0.431171,3.22877,4.985708,3.112685,4.563908,2.69394,5.094467,4.551684,3.427327,-0.581007,1.129282,2.546706,2.700624,-2.816948,3.560075,6.474185,2.587171,-1.468291,6.417916,-3.773919,5.564375,0.916759,4.516548,5.341892,-7.653398,-0.185079,-1.230604,4.9804,3.184367,1.23412,4.447806,-1.82892,5.384002,4.451411,4.204253,-1.625389,6.178425,2.415793,6.021736,0.946047,-3.38747,1.866876,2.928581,-1.608533,4.180807,-4.772595,4.390182,4.73496,0.807829,3.660044,6.223564,2.799851,3.898858,3.31851,5.125216,4.560984,2.455887,-2.813557,1.221202,2.832484,8.340612,5.3067,3.688759,6.864852,-2.554562,-2.583716,5.588853,6.696735,-2.014481,5.752505,2.499076,0.765645,-2.52119,2.157208,1.93485,2.87469,2.096581,-0.2488,6.906861,4.430175,-1.252312,-0.108066,2.278801,6.724389,-1.350352,3.88136,-2.277442,5.71631,3.649991,4.057689,5.578967,5.180706,5.823361,1.971352,5.044108,4.588636,-3.675517,6.180215,4.247007,6.411415,1.178736,5.191563,6.454279,1.067968,3.89021,0.668354,4.536899,4.989925,7.279058,3.162389,3.034376,5.602022,5.808367,6.260877,-1.79612,-0.156475,-2.747042,0.120937,4.558654,4.933095,-4.759047,-4.757017,2.668544,3.32645,5.220544,2.38527,0.070371,3.388637
LB831-BLC,lung,lung_NSCLC_adenocarcinoma,-1.974524,3.308791,-1.639508,-0.522264,2.726326,5.483102,5.864682,8.744613,2.879499,5.239327,0.529772,1.738816,5.946325,-3.436155,4.949682,3.97798,6.312084,6.295075,2.767898,1.741072,0.329784,5.243117,0.020185,-2.457996,3.653354,3.628443,1.81738,0.406731,6.355615,0.297429,2.117635,5.806429,3.781662,2.126173,-7.353255,4.063633,-1.952323,6.672086,4.531313,0.841248,2.007671,-3.427381,3.777279,2.700918,4.732368,-3.99713,6.885049,1.522941,6.814531,-3.077136,-6.28925,-1.578645,5.281293,-3.585744,2.5299,-5.110294,3.414455,1.816529,0.741088,1.559729,6.632982,2.611876,3.083208,3.006381,4.507798,2.413464,3.820912,-1.609721,2.420867,-3.173561,5.156104,4.762388,2.900772,6.121086,-0.868647,-1.827824,5.920128,5.09871,-2.192107,6.468141,4.556357,6.087675,-1.642997,4.187351,0.60739,0.537375,-1.205761,-0.203238,7.51045,4.802585,-2.115009,-0.597426,4.552496,6.757354,4.764335,4.432525,-0.812589,5.422661,2.172523,6.074325,4.115433,3.541492,4.334958,0.698074,4.517394,5.372308,-3.694993,5.658115,0.934389,6.29203,6.361086,2.550906,2.844495,2.278826,2.447754,2.873905,6.109416,6.516543,6.230887,4.078649,0.650658,3.585333,3.477674,4.579581,-0.29466,-0.664414,-5.53543,0.972459,3.224963,4.746396,-3.852544,-3.535179,2.246196,-2.062352,1.081434,3.971,-0.741789,3.540408
LB996-RCC,blood,lymphoblastic_leukemia,-1.090068,4.87072,-2.102177,-2.596011,2.219084,,2.810227,,3.199836,4.03756,0.759951,1.049598,,-3.608064,1.665738,-0.816544,,1.373824,-0.695997,,1.242717,,0.532521,0.077435,,6.612376,2.853053,-0.202898,4.440612,-0.575825,1.505655,3.129103,4.609706,-1.741051,-5.683634,,-0.346099,2.751385,6.80006,,5.467067,-3.425418,2.253812,,5.491049,,5.255924,,1.885205,-4.614024,,-2.545269,2.54181,,2.647772,-5.110907,-0.912263,3.654719,2.676573,3.315387,,0.200303,3.817256,2.099966,4.458796,2.544994,,-2.258906,,-2.732008,8.15584,5.494005,2.244349,5.852465,-0.650978,-4.476708,5.829358,5.919753,-2.512029,5.375198,0.30916,,3.710436,2.143891,0.385964,,1.382899,-4.035106,7.44555,2.404446,-3.053674,-0.365436,,1.288014,3.473077,5.988793,-0.753874,4.818237,0.786226,3.030946,4.799054,4.706997,4.060937,3.756556,4.986382,3.386699,-2.562999,5.263238,4.196538,6.673538,5.940284,4.097389,5.166892,-2.370541,4.093018,1.064228,,6.13102,4.309794,3.402656,5.253103,4.25839,1.416261,2.589532,-1.386239,,-3.463574,2.040152,3.439464,,,-1.174979,,-2.870351,2.595148,1.681691,0.440054,2.259564
LC-1F,lung,lung_NSCLC_large_cell,,,-1.70897,5.780508,,,,,4.534665,,3.953616,6.514359,,1.807125,1.19491,3.39231,,,,,,,6.745301,-0.468526,,,6.144981,4.580829,,1.627691,,6.172508,4.83786,3.900104,-5.589798,,0.226814,,,,3.000816,-2.146481,5.514059,,4.657732,,7.466542,,8.48289,3.307784,,0.508038,,,3.441249,-3.355384,-0.500343,5.922321,4.372836,4.202817,,,3.234551,4.25514,6.47561,5.541044,,0.540462,,2.599538,6.448844,5.490108,,,0.927902,-3.221623,6.124975,,-3.872039,5.568928,0.32385,,0.439534,,0.113393,,0.764369,-0.148123,5.793423,,,4.265374,,,2.641595,4.873473,1.31309,2.059247,,,,5.039071,,3.863054,4.742123,,-0.826341,6.534893,7.168265,3.732302,6.699356,,,-2.225129,3.72739,1.249572,,,,5.892495,6.01567,2.20919,3.769727,5.103251,,,-5.474192,3.381139,5.081272,,,-3.105717,,6.017765,5.087325,3.045067,1.534248,
LC4-1,lung,lung_NSCLC_large_cell,4.945649,4.694018,-1.529478,5.894159,-1.716057,6.599515,6.734444,7.311033,1.799011,5.359924,2.264437,2.03505,6.178616,-2.165782,2.717044,2.198236,6.624137,5.41357,6.530288,1.717268,1.439161,4.266599,1.788015,-1.634646,4.25888,6.089737,3.594602,5.080315,6.131721,1.268814,2.479703,6.083081,4.960539,2.41237,-6.324306,4.114322,0.357851,5.891305,6.871785,1.511119,2.252024,-2.640945,3.909844,4.901756,3.610903,-1.793789,3.710436,2.106036,4.603011,4.524116,0.162281,-1.423402,4.765497,-1.038208,4.202649,-4.362211,6.164887,1.171737,2.616501,1.811291,6.881279,4.73535,4.932739,2.492784,6.55707,3.491467,4.818193,-2.909352,3.737814,-2.593692,4.54964,2.893987,3.061622,6.654256,-0.841066,-2.437545,6.724563,6.483882,-8.093316,4.623185,6.005287,6.072485,-0.82995,4.303519,-0.174265,3.337094,1.50651,0.214783,7.205777,5.226869,-0.571179,3.008096,4.261416,2.117682,3.41145,2.307679,-0.665476,1.635531,2.3063,4.466833,4.861341,3.566278,4.838396,1.685107,4.880299,4.461561,-3.134683,4.837373,4.245668,3.304091,3.893344,3.74748,5.766722,-2.445069,2.937756,0.702964,7.02423,6.442705,6.39489,3.935027,-1.020843,2.810121,1.477209,3.821975,3.02538,0.269531,-3.163014,0.936025,2.547146,5.058507,-0.573655,-4.935409,1.963026,4.913473,3.839498,1.390043,-0.291063,2.925404
LCLC-103H,nervous_system,glioma,3.212651,3.137121,,,3.098208,5.486035,2.310475,8.332933,2.809173,4.084007,-0.538812,2.743651,5.678045,-5.45024,,,5.629142,4.703494,2.261754,0.980283,1.175246,4.584918,1.125917,,3.480329,4.060399,,,6.304905,-0.237825,1.402456,2.615796,4.807797,-1.938114,,4.693243,-0.459137,6.176523,3.491227,0.841624,,,3.408039,3.90564,,-2.18743,,2.589737,6.780388,,-5.0922,-3.885258,4.817717,-2.530697,2.203991,-8.080213,,-0.429092,1.72285,1.80142,6.34814,3.531125,,4.411326,1.362706,,4.691627,,2.272009,-3.403619,2.915436,,2.410495,3.532879,-2.005189,,,4.842003,-4.310606,4.524481,,5.578005,,4.258028,,0.77725,-1.537295,-0.77463,5.321487,3.803776,-1.251812,,5.108068,4.934042,1.463707,0.769804,-1.685941,0.117766,2.429592,1.777829,3.466269,,4.932444,0.443519,,4.461876,,,0.368447,,3.14387,5.04253,5.188524,,,,5.852895,5.755084,5.841125,,-1.062462,,,,-1.558846,0.722971,-8.665035,-2.047797,,4.172761,-4.783696,-6.551925,2.555904,,,,,2.549362
LCLC-97TM1,urogenital_system,prostate,-2.438577,1.136519,,,5.409658,5.420263,3.101422,6.821472,0.831354,5.166317,-0.772303,0.749863,5.35777,-4.342629,,,4.008182,0.031414,3.091396,-1.153077,0.343916,4.611643,-0.562719,,1.512235,6.476976,,,2.311402,-3.133961,1.894635,3.547699,4.45596,0.402648,,3.342021,-1.357686,3.566094,3.242982,-0.852098,,,4.078475,0.653659,,-4.811491,,-0.739388,5.29872,,-6.319024,-4.437321,4.288534,-1.525628,1.785488,-7.719496,,-0.266264,1.156425,1.475102,3.896732,0.990534,,4.147467,0.313118,,5.518418,,3.247598,-8.227203,5.911716,,2.679538,6.78223,-1.812273,,,3.875401,-3.884942,5.920603,,6.482613,,3.035598,,-0.862272,-0.282421,-1.975285,6.477081,2.105501,-2.490645,,4.331343,6.516764,-1.562802,0.952479,-2.883537,0.354044,-2.086211,1.671113,2.808732,,5.593859,1.975847,,3.471856,,,2.68042,,1.860347,-1.277038,4.201229,,,,4.463873,2.314864,6.674986,,-0.489198,,,,-0.086351,-0.099679,-8.885394,0.832525,,4.19582,-5.204586,-6.464001,0.763526,,,,,0.781279
